,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
39,Nyctalus_noctula,EstExtentOccurrence,24101079,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
40,Pipistrellus_kuhlii,EstExtentOccurrence,51385949,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
41,Pipistrellus_maderensis,EstExtentOccurrence,629747,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
42,Pipistrellus_nathusii,EstExtentOccurrence,11175990,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
43,Pipistrellus_pygmaeus,EstExtentOccurrence,10673041,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
44,Plecotus_auritus,EstExtentOccurrence,12039091,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
45,Plecotus_austriacus,EstExtentOccurrence,6047987,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
46,Plecotus_macrobullaris,EstExtentOccurrence,4767971,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
47,Plecotus_teneriffae,EstExtentOccurrence,17395,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
48,Rhinolophus_blasii,EstExtentOccurrence,8849478,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
49,Rhinolophus_euryale,EstExtentOccurrence,10858126,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
50,Rhinolophus_ferrumequinum,EstExtentOccurrence,31424082,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
51,Rhinolophus_hipposideros,EstExtentOccurrence,22157273,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
52,Rhinolophus_mehelyi,EstExtentOccurrence,18885688,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
53,Vespertilio_murinus,EstExtentOccurrence,25697109,NA,NA,NA,estimation,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
