,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
69,Pipistrellus_pipistrellus,SecondMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
70,Pipistrellus_pygmaeus,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
71,Plecotus_auritus,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
72,Plecotus_austriacus,SecondMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
73,Plecotus_kolombatovici,SecondMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
74,Plecotus_macrobullaris,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
75,Plecotus_sardus,SecondMainMaternityRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
76,Plecotus_teneriffae,SecondMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
77,Miniopterus_schreibersii,SecondMainMaternityRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
78,Tadarida_teniotis,SecondMainMaternityRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
79,Rousettus_aegyptiacus,ThirdMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
80,Rhinolophus_hipposideros,ThirdMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
81,Barbastella_barbastellus,ThirdMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
82,Eptesicus_anatolicus,ThirdMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
83,Eptesicus_bottae,ThirdMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
84,Hypsugo_savii,ThirdMainMaternityRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
85,Myotis_mystacinus,ThirdMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
86,Nyctalus_azoreum,ThirdMainMaternityRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
87,Pipistrellus_kuhlii,ThirdMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
88,Plecotus_austriacus,ThirdMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
89,Plecotus_kolombatovici,ThirdMainMaternityRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
90,Plecotus_sardus,ThirdMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
91,Plecotus_teneriffae,ThirdMainMaternityRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
92,Tadarida_teniotis,ThirdMainMaternityRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
93,Rousettus_aegyptiacus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
94,Rhinolophus_blasii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
95,Rhinolophus_euryale,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
96,Rhinolophus_ferrumequinum,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
97,Rhinolophus_hipposideros,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
98,Rhinolophus_mehelyi,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
99,Barbastella_barbastellus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
100,Eptesicus_anatolicus,FirstMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
101,Eptesicus_isabellinus,FirstMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
102,Eptesicus_nilssonii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
103,Eptesicus_serotinus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
104,Hypsugo_savii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
105,Myotis_alcathoe,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
106,Myotis_bechsteinii,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
107,Myotis_blythii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
108,Myotis_brandtii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
109,Myotis_capaccinii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
110,Myotis_crypticus,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
111,Myotis_dasycneme,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
112,Myotis_daubentonii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
113,Myotis_davidii,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
114,Myotis_emarginatus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
115,Myotis_escalerai,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
116,Myotis_myotis,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
117,Myotis_mystacinus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
118,Myotis_nattereri,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
119,Myotis_punicus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
120,Nyctalus_lasiopterus,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
121,Nyctalus_leisleri,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
122,Nyctalus_noctula,FirstMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
123,Pipistrellus_kuhlii,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
124,Pipistrellus_nathusii,FirstMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
125,Pipistrellus_pipistrellus,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
126,Pipistrellus_pygmaeus,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
127,Plecotus_auritus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
128,Plecotus_austriacus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
129,Plecotus_kolombatovici,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
130,Plecotus_macrobullaris,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
131,Plecotus_sardus,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
132,Plecotus_teneriffae,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
133,Vespertilio_murinus,FirstMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
134,Miniopterus_schreibersii,FirstMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
135,Tadarida_teniotis,FirstMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
136,Rousettus_aegyptiacus,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
137,Rhinolophus_ferrumequinum,SecondMainHibernationRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
138,Rhinolophus_hipposideros,SecondMainHibernationRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
139,Barbastella_barbastellus,SecondMainHibernationRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
140,Eptesicus_nilssonii,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
141,Eptesicus_serotinus,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
142,Myotis_bechsteinii,SecondMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
143,Myotis_daubentonii,SecondMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
144,Myotis_davidii,SecondMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
145,Myotis_punicus,SecondMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
146,Nyctalus_leisleri,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
147,Nyctalus_noctula,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
148,Pipistrellus_kuhlii,SecondMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
149,Pipistrellus_nathusii,SecondMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
150,Pipistrellus_pipistrellus,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
151,Pipistrellus_pygmaeus,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
152,Plecotus_auritus,SecondMainHibernationRoost,tree_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
153,Plecotus_austriacus,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
154,Plecotus_kolombatovici,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
155,Plecotus_macrobullaris,SecondMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
156,Plecotus_sardus,SecondMainHibernationRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
157,Plecotus_teneriffae,SecondMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
158,Miniopterus_schreibersii,SecondMainHibernationRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
159,Tadarida_teniotis,SecondMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
160,Eptesicus_nilssonii,ThirdMainHibernationRoost,thermally_unstable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
161,Eptesicus_serotinus,ThirdMainHibernationRoost,rock_crevices,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
162,Pipistrellus_kuhlii,ThirdMainHibernationRoost,human-made_roost,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
163,Pipistrellus_pipistrellus,ThirdMainHibernationRoost,thermally_stable_underground_roosts,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,Experts,Experts,NA,NA,
