,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,Short ref,Full ref,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
45,Myotis_nattereri,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,UnitedKingdom,Hope & Jones (2012),"Hope, P. R. & Jones, G. (2012) Warming up for dinner: torpor and arousal in hibernating Nattererâ€™s bats (Myotis nattereri) studied by radio telemetry. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 182, 569â€“578.",NA,NA,NA
46,Myotis_nattereri,MinBodyTemp,7,NA,NA,NA,NA,˚C,NA,individual,UnitedKingdom,Hope & Jones (2012),"Hope, P. R. & Jones, G. (2012) Warming up for dinner: torpor and arousal in hibernating Nattererâ€™s bats (Myotis nattereri) studied by radio telemetry. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 182, 569â€“578.",NA,NA,NA
47,Myotis_nattereri,MaxTorporBoutDuration,490,NA,NA,NA,NA,h,NA,individual,UnitedKingdom,Hope & Jones (2012),"Hope, P. R. & Jones, G. (2012) Warming up for dinner: torpor and arousal in hibernating Nattererâ€™s bats (Myotis nattereri) studied by radio telemetry. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 182, 569â€“578.",NA,NA,NA
48,Myotis_nattereri,MeanTorporBoutDuration,160,NA,NA,NA,NA,h,19,individual,UnitedKingdom,Hope & Jones (2012),"Hope, P. R. & Jones, G. (2012) Warming up for dinner: torpor and arousal in hibernating Nattererâ€™s bats (Myotis nattereri) studied by radio telemetry. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 182, 569â€“578.",NA,NA,NA
49,Myotis_nattereri,TotalEvaporativeWaterLossRate,0.036,NA,NA,Mean,NA,ml/h,NA,individual,NA,Willis et al. (2011),"Willis, C.K.R., Menzies, A.K., Boyles, J.G., Wojciechowski,M.S., 2011. Evaporative water loss is a plausible explanation for mortality of bats from white-nose syndrome. Integr. Comp. Biol. 51, 364â€“373.",Body_mass(g):_8.7,NA,NA
52,Nyctalus_leisleri,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Boston et al. (2015),"Boston, E. S., Ian Montgomery, W., Hynes, R., & ProdÃ¶hl, P. A. (2015) New insights on postglacial colonization in western Europe: the phylogeography of the Leisler's bat (Nyctalus leisleri)Â Proceedings of the Royal Society B: Biological Sciences,Â 282(1804), 20142605.",NA,NA,NA
53,Nyctalus_noctula,BasalMetabolicRate,15,NA,NA,Mean,NA,ml O2/h,1,individual,NA,Kayser (1939),"Kayser, C. (1939) Exchanges respiratoires des hibernants r.veill.s. Annales de Physiologie et de Physicochimie Biologique 15, 1087â€“1219.",Body_mass(g):_20,NA,Quality:_Rejected
54,Nyctalus_noctula,BasalMetabolicRatePerc,71,NA,NA,Mean,NA,%,1,individual,NA,Kayser (1939),"Kayser, C. (1939) Exchanges respiratoires des hibernants r.veill.s. Annales de Physiologie et de Physicochimie Biologique 15, 1087â€“1219.",Body_mass(g):_20,NA,Quality:_Rejected
55,Nyctalus_noctula,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Ransome (1990),"Ransome, R. (1990) The Natural History of Hibernating Bats. C. Helm, London.",NA,NA,NA
56,Nyctalus_noctula,MinBodyTemp,3,NA,NA,NA,NA,˚C,NA,individual,Switzerland,Arlettaz et al. (2000),"Arlettaz, R., Ruchet, C., Aeschimann, J., Brun, E., Genoud, M. & Vogel, P. (2000) Physiological traits affecting the distribution and wintering strategy of the bat Tadarida teniotis. Ecology 81, 1004â€“1014.",Body_mass(g):_28.9,NA,NA
62,Pipistrellus_nathusii,TorporBehavior,yes,NA,NA,NA,NA,NA,NA,individual,NA,Petersons (2004),"Petersons, G. (2004) Seasonal migrations of north-eastern populations of Nathusiusâ€™ bat Pipistrellus nathusii (Chiroptera)Â Myotis,Â 41(42), 29-56.",NA,NA,NA
63,Pipistrellus_pipistrellus,BasalMetabolicRate,8,NA,NA,Mean,NA,ml O2/h,14,individual,NA,Genoud & Christe (2011),"Genoud, M., Christe, P. (2011) Thermal energetics and torpor in the common pipistrelle bat, Pipistrellus pipistrellus (Vespertilionidae: Mammalia) Comp. Biochem. Physiol. A Mol. Integr. Physiol. 160, 252â€“259.",Body_mass(g):_4.6,NA,Quality:_Accepted
64,Pipistrellus_pipistrellus,BasalMetabolicRatePerc,110.41,NA,NA,Mean,NA,%,14,individual,NA,Genoud & Christe (2011),"Genoud, M., Christe, P. (2011) Thermal energetics and torpor in the common pipistrelle bat, Pipistrellus pipistrellus (Vespertilionidae: Mammalia) Comp. Biochem. Physiol. A Mol. Integr. Physiol. 160, 252â€“259.",Body_mass(g):_4.6,NA,Quality:_Accepted
